id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53488396,A Suburbia-In-The City Colonial Home,82144272,Maria,,East,40.69604,-74.10467,Entire home/apt,332,2,13,2022-09-12,1.41,2,364,13,
36527509,"Cozy 2 Bedroom Apt, 20 Mins from NYC",469820241,Adam,,East,40.68667,-74.10665,Entire home/apt,117,2,204,2022-09-19,5.3,1,324,58,
52740751,New! Luxury! 12 min from Airport & 30 min from NYC,121660543,Sylvia,,East,40.69266,-74.09655,Entire home/apt,287,2,43,2022-09-18,3.72,1,91,43,
711026727970683741,CLT BdRM A Master EWR/Travl Nurse/NY/free parking,477507795,Owumi,,South,40.72371547,-74.21777666,Private room,51,1,2,2022-09-11,2,5,358,2,
37124782,*ART ROOM* 30 MINS NYC/10 MINS NEWARK AIRPORT,216631614,Sam,,South,40.71326,-74.2378,Private room,52,1,21,2021-09-27,0.55,25,115,0,
692986641959814254,"Little green room
Comfortable small room",216631614,Sam,,South,40.7284144,-74.215892,Private room,44,1,0,,,25,330,0,
31042907,"UNDERGROUND MOON SUITE 
BEST DEAL FOR YOUR MONEY",216631614,Sam,,South,40.71397,-74.23781,Private room,55,1,83,2021-12-15,1.82,25,115,2,
52589991,Lovely one bedroom in East orange,330821063,Enez,,West,40.75051,-74.20246,Entire home/apt,107,2,7,2022-08-12,1.13,1,352,7,
578339281156776908,"Entire Apartment 35min to NYC, 15min EWR airport",170542403,Cortney,,West,40.73544,-74.21698,Entire home/apt,72,1,33,2022-09-22,5,1,269,33,
649389255414050306,comfy 1BR apt. 15 mins from EWR/ near train to NYC,234395382,Bee,,West,40.76019,-74.22877,Entire home/apt,185,2,2,2022-07-25,0.74,2,77,2,
554901272294546404,"Cozy 3Br, 4BA w/free Parking ,WiFi & Self check in",378709763,Cristhian,,West,40.75301,-74.21811,Entire home/apt,184,1,0,,,1,342,0,
558708123437745100,King Suite-private patio-close to NJPAC Prudential,450166894,Tristin,,West,40.75976,-74.22865,Entire home/apt,141,1,8,2022-08-28,1.1,1,261,8,
640786599105282068,Lovely 1-bedroom 15mins from Newark NJ Airport,423749640,Sharon,,West,40.75368,-74.20335,Private room,1886,1,0,,,4,329,0,
50658261,Newly renovated 2 bedroom open concept apartment,351852093,Edgar,,East,40.6967,-74.10248,Entire home/apt,200,2,30,2022-09-17,2,1,355,22,STR22-026
28541623,"Spacious Studio Apt. 20min to NYC, 13min to EWR!",126187790,Madiha,,East,40.68686,-74.1059,Entire home/apt,98,2,189,2022-09-07,3.86,1,131,42,
33067535,Spacious & comfy cozy home near New York and EWR,182869653,Guo,,East,40.68735,-74.10595,Entire home/apt,180,2,128,2022-09-13,2.99,3,295,32,
16565783,Enjoy The Simplicity Of This Cozy Studio,82144272,Maria,,East,40.69542,-74.1045,Entire home/apt,91,3,66,2022-08-14,1.03,2,103,12,
28911324,High Tech Bedroom/Work Place Very Close to NYC,5942819,Luiz,,North,40.76377,-74.15305,Private room,40,30,3,2021-03-31,0.12,4,247,0,
28909394,Private Room Close to NYC and Major Highways,5942819,Luiz,,North,40.76387,-74.15314,Private room,40,30,6,2022-06-09,0.16,4,55,1,
